"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info test","This is pending test","PENDING","2017-11-26T16:48:58.302-05:00[America/New_York]","0.0","0.85"
"Serenity id info test","This Test gets all the information from StudentApp","SUCCESS","2017-11-26T16:48:59.522-05:00[America/New_York]","0.0","4.51"
"Serenity id info test","This is a manual test","PENDING","2017-11-26T16:49:04.037-05:00[America/New_York]","0.0","0.26"
"Serenity id info test","File does not exist","COMPROMISED","2017-11-26T16:49:04.302-05:00[America/New_York]","0.0","0.26"
"Serenity id info test","Get all students","SUCCESS","2017-11-26T16:49:04.59-05:00[America/New_York]","0.0","0.36"
"Serenity id info test","This is failing test","FAILURE","2017-11-26T16:49:04.955-05:00[America/New_York]","0.0","0.48"
"Serenity id info test","This is skipped test","ERROR","2017-11-26T16:49:05.44-05:00[America/New_York]","0.0","0.3"
"Serenity test","This is pending test","PENDING","2017-11-26T16:49:08.113-05:00[America/New_York]","0.0","0.26"
"Serenity test","This is a manual test","PENDING","2017-11-26T16:49:08.372-05:00[America/New_York]","0.0","0.18"
"Serenity test","File does not exist","COMPROMISED","2017-11-26T16:49:08.555-05:00[America/New_York]","0.0","0.2"
"Serenity test","Get all students","SUCCESS","2017-11-26T16:49:08.756-05:00[America/New_York]","0.0","0.26"
"Serenity test","This is failing test","FAILURE","2017-11-26T16:49:09.02-05:00[America/New_York]","0.0","0.27"
"Serenity test","This is skipped test","ERROR","2017-11-26T16:49:09.289-05:00[America/New_York]","0.0","0.16"
"Students CRUD test","This Test will create a new Student","SUCCESS","2017-11-26T16:49:09.7-05:00[America/New_York]","0.0","0.35"
"Students CRUD test","Verify if the student was added","SUCCESS","2017-11-26T16:49:10.057-05:00[America/New_York]","0.0","0.74"
"Students CRUD test","Update user information and verify","SUCCESS","2017-11-26T16:49:10.799-05:00[America/New_York]","0.0","0.33"
"Students CRUD test","Delete student and verify","SUCCESS","2017-11-26T16:49:11.13-05:00[America/New_York]","0.0","0.2"
